id,sub_id,text
language,,US
$C1910_MAIN_8000_0100_00_cld,,My memory ends here.<br>I don’t remember anything after that.
$C1910_MAIN_8000_0100_00_cld,ACTOR,Cloud
$C1910_MAIN_8000_0100_05_blt,,
$C1910_MAIN_8000_0100_05_blt,ACTOR,Barret
$C1910_MAIN_8000_0200_00_blt,,"Hey, hey, hey now!"
$C1910_MAIN_8000_0200_00_blt,ACTOR,Barret
$C1910_MAIN_8000_0300_00_art,,‟Hero Sephiroth Missing During Training”
$C1910_MAIN_8000_0300_00_art,ACTOR,Aerith
$C1910_MAIN_8000_0310_00_art,,I watched that news with my mom.
$C1910_MAIN_8000_0310_00_art,ACTOR,Aerith
$C1910_MAIN_8000_0400_00_art,,"And then a few days later,<br>they announced, ‟Actually, he died in battle,” right?"
$C1910_MAIN_8000_0400_00_art,ACTOR,Aerith
$C1910_MAIN_8000_0500_00_art,,"Yes, that's right!"
$C1910_MAIN_8000_0500_00_art,ACTOR,Aerith
$C1910_MAIN_8000_0600_00_blt,,Shinra’s the one makin’ the news.<br>Those bastards do whatever they want.
$C1910_MAIN_8000_0600_00_blt,ACTOR,Barret
$C1910_MAIN_8000_0700_00_blt,,You’d have to be crazy to believe ‘em!
$C1910_MAIN_8000_0700_00_blt,ACTOR,Barret
$C1910_MAIN_8000_0700_05_art,,
$C1910_MAIN_8000_0700_05_art,ACTOR,Aerith
$C1910_MAIN_8000_0800_00_art,,"I believed it, though."
$C1910_MAIN_8000_0800_00_art,ACTOR,Aerith
$C1910_MAIN_8000_0900_00_blt,,"Oh… right, that."
$C1910_MAIN_8000_0900_00_blt,ACTOR,Barret
$C1910_MAIN_8000_0910_00_blt,,"Anyway, Shinra’s to blame for everything."
$C1910_MAIN_8000_0910_00_blt,ACTOR,Barret
$C1910_MAIN_8000_1000_00_cld,,"Whatever the truth was five years ago,<br>we fought Sephiroth in Midgar."
$C1910_MAIN_8000_1000_00_cld,ACTOR,Cloud
$C1910_MAIN_8000_1100_00_cld,,He’s alive.
$C1910_MAIN_8000_1100_00_cld,ACTOR,Cloud
$C1910_MAIN_8000_1200_00_art,,"Alive, or… like, he’s here?"
$C1910_MAIN_8000_1200_00_art,ACTOR,Aerith
$C1910_MAIN_8000_1300_00_tif,,"Why’d he show up now, of all times?"
$C1910_MAIN_8000_1300_00_tif,ACTOR,Tifa
$C1910_MAIN_8000_1300_05_cld,,
$C1910_MAIN_8000_1300_05_cld,ACTOR,Cloud
$C1910_MAIN_8000_1400_00_tif,,What was he doing for those five years?
$C1910_MAIN_8000_1400_00_tif,ACTOR,Tifa
$C1910_MAIN_8000_1400_05_cld,,
$C1910_MAIN_8000_1400_05_cld,ACTOR,Cloud
$C1910_MAIN_8000_1500_00_cld,,Sephiroth’s picking up where he left off that day.
$C1910_MAIN_8000_1500_00_cld,ACTOR,Cloud
$C1910_MAIN_8000_1600_00_cld,,"With Jenova, he’s gonna take back this planet<br>and continue his plan to become its ruler."
$C1910_MAIN_8000_1600_00_cld,ACTOR,Cloud
$C1910_MAIN_8000_1700_00_tif,,After five years?
$C1910_MAIN_8000_1700_00_tif,ACTOR,Tifa
$C1910_MAIN_8000_1800_00_tif,,Sorry for being so persistent.<br>It’s just… it’s been bothering me.
$C1910_MAIN_8000_1800_00_tif,ACTOR,Tifa
$C1910_MAIN_8000_1800_05_cld,,
$C1910_MAIN_8000_1800_05_cld,ACTOR,Cloud
$C1910_MAIN_8000_1800_08_blt,,
$C1910_MAIN_8000_1800_08_blt,ACTOR,Barret
$C1910_MAIN_8000_1900_00_blt,,This Jenova thing—I don’t get it either.
$C1910_MAIN_8000_1900_00_blt,ACTOR,Barret
$C1910_MAIN_8000_2000_00_art,,
$C1910_MAIN_8000_2000_00_art,ACTOR,Aerith
$C1910_MAIN_8000_2010_00_art,,Sorry.
$C1910_MAIN_8000_2010_00_art,ACTOR,Aerith
$C1910_MAIN_8000_2100_00_art,,"The wastelands? I’m not used to ‘em, and I’m wiped out.<br>My back’s all stiff."
$C1910_MAIN_8000_2100_00_art,ACTOR,Aerith
$C1910_MAIN_8000_2100_05_tif,,
$C1910_MAIN_8000_2100_05_tif,ACTOR,Tifa
$C1910_MAIN_8000_2200_00_tif,,Let me feel it a sec.
$C1910_MAIN_8000_2200_00_tif,ACTOR,Tifa
$C1910_MAIN_8000_2200_08_art,,
$C1910_MAIN_8000_2200_08_art,ACTOR,Aerith
$C1910_MAIN_8000_2300_00_art,,
$C1910_MAIN_8000_2300_00_art,ACTOR,Aerith
$C1910_MAIN_8000_2300_05_tif,,
$C1910_MAIN_8000_2300_05_tif,ACTOR,Tifa
$C1910_MAIN_8000_2400_00_tif,,Yikes.
$C1910_MAIN_8000_2400_00_tif,ACTOR,Tifa
$C1910_MAIN_8000_2500_00_tif,,But I might be able to do something about it.<br>Wanna head to the room?
$C1910_MAIN_8000_2500_00_tif,ACTOR,Tifa
$C1910_MAIN_8000_2500_05_art,,
$C1910_MAIN_8000_2500_05_art,ACTOR,Aerith
$C1910_MAIN_8000_2600_00_blt,,"Guess we’ll call it a night here, huh?"
$C1910_MAIN_8000_2600_00_blt,ACTOR,Barret
$C1910_MAIN_8000_2700_00_blt,,"In the end, there’s no way we’d figure out<br>what Sephiroth’s been up to anyway."
$C1910_MAIN_8000_2700_00_blt,ACTOR,Barret
$C1910_MAIN_8000_2700_01_tif,,
$C1910_MAIN_8000_2700_01_tif,ACTOR,Tifa
$C1910_MAIN_8000_2700_02_art,,
$C1910_MAIN_8000_2700_02_art,ACTOR,Aerith
$C1910_MAIN_8000_2700_04_red,,
$C1910_MAIN_8000_2700_04_red,ACTOR,Red XIII
$C1910_MAIN_8000_2700_05_blt,,
$C1910_MAIN_8000_2700_05_blt,ACTOR,Barret
$C1910_MAIN_8000_2700_06_red,,
$C1910_MAIN_8000_2700_06_red,ACTOR,Red XIII
$C1910_MAIN_8000_2700_07_blt,,"Hey, hey, hey, hey now!"
$C1910_MAIN_8000_2700_07_blt,ACTOR,Barret
$C1910_MAIN_8000_2700_08_blt,,Red…
$C1910_MAIN_8000_2700_08_blt,ACTOR,Barret
$C1910_MAIN_8000_2700_08_red,,
$C1910_MAIN_8000_2700_08_red,ACTOR,Red XIII
$C1910_MAIN_8000_2800_00_art,,Good night.
$C1910_MAIN_8000_2800_00_art,ACTOR,Aerith
$C1910_MAIN_8000_2900_00_tif,,Good night.
$C1910_MAIN_8000_2900_00_tif,ACTOR,Tifa
$C1910_MAIN_8000_2900_05_cld,,
$C1910_MAIN_8000_2900_05_cld,ACTOR,Cloud
