id,sub_id,text
language,,US
$C2410_MAIN_0100_0000_10_yfi,,
$C2410_MAIN_0100_0000_10_yfi,ACTOR,Yuffie
$C2410_MAIN_0100_0000_11_yfi,,
$C2410_MAIN_0100_0000_11_yfi,ACTOR,Yuffie
$C2410_MAIN_0100_0100_00_yfi,,See ya later~!
$C2410_MAIN_0100_0100_00_yfi,ACTOR,Yuffie
$C2410_MAIN_0100_0100_07_yfi,,
$C2410_MAIN_0100_0100_07_yfi,ACTOR,Yuffie
$C2410_MAIN_0100_0100_08_yfi,,
$C2410_MAIN_0100_0100_08_yfi,ACTOR,Yuffie
$C2410_MAIN_0100_0100_09_snk,,
$C2410_MAIN_0100_0100_09_snk,ACTOR,Shinra Middle Manager
$C2410_MAIN_0100_0100_10_yfi,,
$C2410_MAIN_0100_0100_10_yfi,ACTOR,Yuffie
$C2410_MAIN_0100_0100_11_blt,,
$C2410_MAIN_0100_0100_11_blt,ACTOR,Barret
$C2410_MAIN_0100_0100_13_yfi,,
$C2410_MAIN_0100_0100_13_yfi,ACTOR,Yuffie
$C2410_MAIN_0100_0200_00_blt,,I ain’t got no use for a flashy place like this!<br>Let’s get outta here quick!
$C2410_MAIN_0100_0200_00_blt,ACTOR,Barret
$C2410_MAIN_0100_0300_00_cld,,Once those guys start movin’.
$C2410_MAIN_0100_0300_00_cld,ACTOR,Cloud
$C2410_MAIN_0100_0300_08_art,,
$C2410_MAIN_0100_0300_08_art,ACTOR,Aerith
$C2410_MAIN_0100_0400_00_art,,
$C2410_MAIN_0100_0400_00_art,ACTOR,Aerith
$C2410_MAIN_0100_0400_07_tif,,
$C2410_MAIN_0100_0400_07_tif,ACTOR,Tifa
$C2410_MAIN_0100_0400_09_blt,,
$C2410_MAIN_0100_0400_09_blt,ACTOR,Barret
$C2410_MAIN_0100_0410_00_art,,How about a little sightseeing?
$C2410_MAIN_0100_0410_00_art,ACTOR,Aerith
$C2410_MAIN_0100_0500_00_art,,"I mean, it’s Costa del Sol!<br>Costa del Sol!"
$C2410_MAIN_0100_0500_00_art,ACTOR,Aerith
$C2410_MAIN_0100_0500_05_blt,,
$C2410_MAIN_0100_0500_05_blt,ACTOR,Barret
$C2410_MAIN_0100_0600_00_red,,Can’t we cool off somewhere?
$C2410_MAIN_0100_0600_00_red,ACTOR,Red XIII
$C2410_MAIN_0100_0610_00_red,,This heat’s unbearable.
$C2410_MAIN_0100_0610_00_red,ACTOR,Red XIII
$C2410_MAIN_0100_0700_00_blt,,"Furball, over there!"
$C2410_MAIN_0100_0700_00_blt,ACTOR,Barret
$C2410_MAIN_0100_0700_03_art,,
$C2410_MAIN_0100_0700_03_art,ACTOR,Aerith
$C2410_MAIN_0100_0700_05_nem,,
$C2410_MAIN_0100_0700_05_nem,ACTOR,Hospitality Girls
$C2410_MAIN_0100_0700_06_frn,,
$C2410_MAIN_0100_0700_06_frn,ACTOR,Hospitality Girls
$C2410_MAIN_0100_0700_07_yld,,
$C2410_MAIN_0100_0700_07_yld,ACTOR,Hospitality Girls
$C2410_MAIN_0100_0700_08_blt,,
$C2410_MAIN_0100_0700_08_blt,ACTOR,Barret
$C2410_MAIN_0100_0700_11_tif,,
$C2410_MAIN_0100_0700_11_tif,ACTOR,Tifa
$C2410_MAIN_0100_0700_13_nem,,Costa~!
$C2410_MAIN_0100_0700_13_nem,ACTOR,Hospitality Girls
$C2410_MAIN_0100_0800_00_kpn,,"We~lcome to Costa del Sol!<br>I’m Kapono, the mayor."
$C2410_MAIN_0100_0800_00_kpn,ACTOR,Mayor Kapono
$C2410_MAIN_0100_0800_05_kpn,,
$C2410_MAIN_0100_0800_05_kpn,ACTOR,Mayor Kapono
$C2410_MAIN_0100_0800_07_frn,,
$C2410_MAIN_0100_0800_07_frn,ACTOR,Hospitality Girls
$C2410_MAIN_0100_0800_09_yld,,
$C2410_MAIN_0100_0800_09_yld,ACTOR,Hospitality Girls
$C2410_MAIN_0100_0900_00_kpn,,Here’s a little gift for you.
$C2410_MAIN_0100_0900_00_kpn,ACTOR,Mayor Kapono
$C2410_MAIN_0100_0900_05_frn,,
$C2410_MAIN_0100_0900_05_frn,ACTOR,Hospitality Girls
$C2410_MAIN_0100_1000_00_kpn,,"Without this,<br>your Costa vacation can’t even begin!"
$C2410_MAIN_0100_1000_00_kpn,ACTOR,Mayor Kapono
$C2410_MAIN_0100_1000_03_nem,,
$C2410_MAIN_0100_1000_03_nem,ACTOR,Hospitality Girls
$C2410_MAIN_0100_1000_05_art,,
$C2410_MAIN_0100_1000_05_art,ACTOR,Aerith
$C2410_MAIN_0100_1000_07_mfa,,
$C2410_MAIN_0100_1000_09_tif,,
$C2410_MAIN_0100_1000_09_tif,ACTOR,Tifa
$C2410_MAIN_0100_1100_00_kpn,,It suits you ve~ry well!
$C2410_MAIN_0100_1100_00_kpn,ACTOR,Mayor Kapono
$C2410_MAIN_0100_1200_00_kpn,,"This is a paradise of shining sun,<br>a supreme resort blessed by the heavens!"
$C2410_MAIN_0100_1200_00_kpn,ACTOR,Mayor Kapono
$C2410_MAIN_0100_1200_05_frn,,
$C2410_MAIN_0100_1200_05_frn,ACTOR,Hospitality Girls
$C2410_MAIN_0100_1200_06_nem,,
$C2410_MAIN_0100_1200_06_nem,ACTOR,Hospitality Girls
$C2410_MAIN_0100_1200_07_yld,,
$C2410_MAIN_0100_1200_07_yld,ACTOR,Hospitality Girls
$C2410_MAIN_0100_1300_00_kpn,,"Forget your dull everyday life in a flash~!<br>Please, enjoy yourselves to your heart’s content!"
$C2410_MAIN_0100_1300_00_kpn,ACTOR,Mayor Kapono
$C2410_MAIN_0100_1400_00_kpn,,"Welcome, we~lcome!"
$C2410_MAIN_0100_1400_00_kpn,ACTOR,Mayor Kapono
$C2410_MAIN_0100_1400_02_frn,,
$C2410_MAIN_0100_1400_02_frn,ACTOR,Hospitality Girls
$C2410_MAIN_0100_1400_03_yld,,
$C2410_MAIN_0100_1400_03_yld,ACTOR,Hospitality Girls
$C2410_MAIN_0100_1400_04_nem,,
$C2410_MAIN_0100_1400_04_nem,ACTOR,Hospitality Girls
$C2410_MAIN_0100_1400_05_art,,
$C2410_MAIN_0100_1400_05_art,ACTOR,Aerith
$C2410_MAIN_0100_1500_00_art,,"The beach is that way, right?"
$C2410_MAIN_0100_1500_00_art,ACTOR,Aerith
$C2410_MAIN_0100_1600_00_tif,,"I’d like to take a shower first, though.<br>Let’s find a hotel."
$C2410_MAIN_0100_1600_00_tif,ACTOR,Tifa
$C2410_MAIN_0100_1600_05_art,,
$C2410_MAIN_0100_1600_05_art,ACTOR,Aerith
$C2410_MAIN_0100_1600_07_blt,,
$C2410_MAIN_0100_1600_07_blt,ACTOR,Barret
$C2410_MAIN_0100_1600_09_art,,
$C2410_MAIN_0100_1600_09_art,ACTOR,Aerith
$C2410_MAIN_0100_1700_00_blt,,"You ain’t gonna say we’re goin’ swimmin’, are ya?"
$C2410_MAIN_0100_1700_00_blt,ACTOR,Barret
$C2410_MAIN_0100_1800_00_blt,,"They’re sayin’ it, huh? They’re totally sayin’ it, right?"
$C2410_MAIN_0100_1800_00_blt,ACTOR,Barret
$C2410_MAIN_0200_0100_00_snk,,Why are you all in a place like this!
$C2410_MAIN_0200_0100_00_snk,ACTOR,Shinra Middle Manager
$C2410_MAIN_0200_0200_00_snk,,"No, don’t tell me.<br>Nothing good ever comes from getting mixed up with you lot."
$C2410_MAIN_0200_0200_00_snk,ACTOR,Shinra Middle Manager
$C2410_MAIN_0200_0300_00_snk,,"I’m here on a business trip to escort some executives.<br>Just don’t get in my way, got it?"
$C2410_MAIN_0200_0300_00_snk,ACTOR,Shinra Middle Manager
$C2410_MAIN_0400_0100_00_mma,,"Today, we’re bustling with guests<br>who came to see the parade in Junon."
$C2410_MAIN_0400_0100_00_mma,ACTOR,Tourism Staff
$C2410_MAIN_0400_0200_00_mma,,All the popular hotels are fully booked.
$C2410_MAIN_0400_0200_00_mma,ACTOR,Tourism Staff
$C2410_MAIN_0400_0300_00_mma,,"I could refer you to a recently opened hotel,<br>but it’s not exactly something I can recommend…"
$C2410_MAIN_0400_0300_00_mma,ACTOR,Tourism Staff
$C2410_MAIN_0400_0400_00_mma,,"Between you and me, some shady folks are involved,<br>so I’d steer clear if I were you."
$C2410_MAIN_0400_0400_00_mma,ACTOR,Tourism Staff
$C2410_MAIN_0500_0100_00_mma,,My apologies.<br>We’re fully booked today.
$C2410_MAIN_0500_0100_00_mma,ACTOR,Hotel Staff
$C2410_MAIN_0500_0200_00_mma,,Welcome! Are you checking in?
$C2410_MAIN_0500_0200_00_mma,ACTOR,Hotel Staff
$C2410_MAIN_0500_0300_00_mma,,Have a good day!
$C2410_MAIN_0500_0300_00_mma,ACTOR,Hotel Staff
$C2410_MAIN_0600_0100_00_mfa,,"Today, we’re only accepting<br>guests with reservations."
$C2410_MAIN_0600_0100_00_mfa,ACTOR,Hotel Staff
$C2410_MAIN_0600_0200_00_mfa,,We look forward to your next visit.
$C2410_MAIN_0600_0200_00_mfa,ACTOR,Hotel Staff
$C2410_MAIN_0600_0300_00_mfa,,Welcome! Please take your time and relax.
$C2410_MAIN_0600_0300_00_mfa,ACTOR,Hotel Staff
$C2410_MAIN_0600_0400_00_mfa,,Have a good day!
$C2410_MAIN_0600_0400_00_mfa,ACTOR,Hotel Staff
$C2410_MAIN_0700_0100_00_mma,,"Hey, buddy, ever thought of<br>becoming a hotel owner in dreamy Costa?"
$C2410_MAIN_0700_0100_00_mma,ACTOR,Shady Guy
$C2410_MAIN_0700_0200_00_mma,,I’ve got just the deal for ya.
$C2410_MAIN_0700_0200_00_mma,ACTOR,Shady Guy
$C2410_MAIN_0700_0300_00_mma,,Get this—it’s a tenth of the market price!
$C2410_MAIN_0700_0300_00_mma,ACTOR,Shady Guy
$C2410_MAIN_0700_0400_00_mma,,"Can’t quite say why,<br>but someone’s real eager to offload this property."
$C2410_MAIN_0700_0400_00_mma,ACTOR,Shady Guy
$C2410_MAIN_0700_0410_00_mma,,"C’mon, it’s a hot tourist spot!<br>You’ll make your money back in no time."
$C2410_MAIN_0700_0410_00_mma,ACTOR,Shady Guy
$C2410_MAIN_0800_0100_00_jny,,"Tifa, big bro~!"
$C2410_MAIN_0800_0100_00_jny,ACTOR,?????
$C2410_MAIN_0800_0100_05_art,,
$C2410_MAIN_0800_0100_05_art,ACTOR,Aerith
$C2410_MAIN_0800_0190_00_jny,,Tifa~!
$C2410_MAIN_0800_0190_00_jny,ACTOR,?????
$C2410_MAIN_0800_0200_00_tif,,"No way, Johnny?"
$C2410_MAIN_0800_0200_00_tif,ACTOR,Tifa
$C2410_MAIN_0800_0200_07_jny,,
$C2410_MAIN_0800_0200_07_jny,ACTOR,Johnny
$C2410_MAIN_0800_0300_00_jny,,"Hey, everyone, long time no see!<br>You all look well!"
$C2410_MAIN_0800_0300_00_jny,ACTOR,Johnny
$C2410_MAIN_0800_0300_05_tif,,
$C2410_MAIN_0800_0300_05_tif,ACTOR,Tifa
$C2410_MAIN_0800_0400_00_tif,,"What are you doing here, Johnny?"
$C2410_MAIN_0800_0400_00_tif,ACTOR,Tifa
$C2410_MAIN_0800_0500_00_jny,,"Johnny, the man, is makin’ his big move!"
$C2410_MAIN_0800_0500_00_jny,ACTOR,Johnny
$C2410_MAIN_0800_0510_00_jny,,"I became a hotel owner, yo!"
$C2410_MAIN_0800_0510_00_jny,ACTOR,Johnny
$C2410_MAIN_0800_0510_05_art,,
$C2410_MAIN_0800_0510_05_art,ACTOR,Aerith
$C2410_MAIN_0800_0510_07_blt,,
$C2410_MAIN_0800_0510_07_blt,ACTOR,Barret
$C2410_MAIN_0800_0600_00_jny,,"Well, it’s just a tiny hotel, though."
$C2410_MAIN_0800_0600_00_jny,ACTOR,Johnny
$C2410_MAIN_0800_0700_00_art,,We were just looking for a place to rest.<br>Can we stop by?
$C2410_MAIN_0800_0700_00_art,ACTOR,Aerith
$C2410_MAIN_0800_0800_00_jny,,"Whoa, that’s a dream come true!<br>You’re super, super, suuuper welcome!"
$C2410_MAIN_0800_0800_00_jny,ACTOR,Johnny
$C2410_MAIN_0800_0800_05_art,,
$C2410_MAIN_0800_0800_05_art,ACTOR,Aerith
$C2410_MAIN_0800_0900_00_jny,,"Truth is, since we opened, we’ve had zero guests."
$C2410_MAIN_0800_0900_00_jny,ACTOR,Johnny
$C2410_MAIN_0800_0900_05_jny,,
$C2410_MAIN_0800_0900_05_jny,ACTOR,Johnny
$C2410_MAIN_0800_1000_00_blt,,You gonna be okay?
$C2410_MAIN_0800_1000_00_blt,ACTOR,Barret
$C2410_MAIN_0800_1100_00_jny,,"Aw, c’mon, with our bond?<br>No need to hold back!"
$C2410_MAIN_0800_1100_00_jny,ACTOR,Johnny
$C2410_MAIN_0800_1100_05_blt,,
$C2410_MAIN_0800_1100_05_blt,ACTOR,Barret
$C2410_MAIN_0800_1200_00_jny,,"Alrighty then, let’s head over!"
$C2410_MAIN_0800_1200_00_jny,ACTOR,Johnny
$C2410_MAIN_0800_1300_00_cld,,Hey.
$C2410_MAIN_0800_1300_00_cld,ACTOR,Cloud
$C2410_MAIN_0800_1400_00_jny,,"C’mon, hurry up, hurry up!"
$C2410_MAIN_0800_1400_00_jny,ACTOR,Johnny
$C2410_MAIN_0800_1400_05_art,,
$C2410_MAIN_0800_1400_05_art,ACTOR,Aerith
$C2410_MAIN_0800_1400_07_blt,,
$C2410_MAIN_0800_1400_07_blt,ACTOR,Barret
$C2410_MAIN_1000_0100_00_jny,,"Don’t get lost now,<br>make sure you follow me close, okay?"
$C2410_MAIN_1000_0100_00_jny,ACTOR,Johnny
$C2410_MAIN_1100_0100_00_jny,,"This way, this way!"
$C2410_MAIN_1100_0100_00_jny,ACTOR,Johnny
$C2410_MAIN_1100_0200_00_jny,,"Over here, yo!"
$C2410_MAIN_1100_0200_00_jny,ACTOR,Johnny
$C2410_MAIN_1200_0100_00_jny,,"Just bought it, so it’s a bit messy,<br>but it’s got a pretty nice vibe goin’ on~"
$C2410_MAIN_1200_0100_00_jny,ACTOR,Johnny
$C2410_MAIN_1200_0300_00_jny,,"Man~ It’s a long story, but…"
$C2410_MAIN_1200_0300_00_jny,ACTOR,Johnny
$C2410_MAIN_1200_0400_00_jny,,"I finally left Midgar with my mind made up,<br>but no job, no cash, no girlfriend—totally screwed."
$C2410_MAIN_1200_0400_00_jny,ACTOR,Johnny
$C2410_MAIN_1200_0500_00_jny,,"Lyin’ in an alley like some piece of trash,<br>then Mayor Kapono calls out to me."
$C2410_MAIN_1200_0500_00_jny,ACTOR,Johnny
$C2410_MAIN_1200_0600_00_jny,,"He said if I didn’t have a job,<br>he’d hook me up with a cheap property as a special favor!"
$C2410_MAIN_1200_0600_00_jny,ACTOR,Johnny
$C2410_MAIN_1200_0700_00_jny,,"The sale price? Half the market value!<br>And on top of that, he threw in a fat loan!"
$C2410_MAIN_1200_0700_00_jny,ACTOR,Johnny
$C2410_MAIN_1200_0800_00_jny,,"I was so moved, man…"
$C2410_MAIN_1200_0800_00_jny,ACTOR,Johnny
$C2410_MAIN_1200_0900_00_jny,,"Hey, where you goin’?!"
$C2410_MAIN_1200_0900_00_jny,ACTOR,Johnny
$C2410_MAIN_1300_0000_05_jny,,Everyo~ne!
$C2410_MAIN_1300_0000_05_jny,ACTOR,Johnny
$C2410_MAIN_1300_0000_07_jny,,
$C2410_MAIN_1300_0000_07_jny,ACTOR,Johnny
$C2410_MAIN_1300_0100_00_jny,,My castle—Seaside Johnny!
$C2410_MAIN_1300_0100_00_jny,ACTOR,Johnny
$C2410_MAIN_1300_0100_02_tif,,
$C2410_MAIN_1300_0100_02_tif,ACTOR,Tifa
$C2410_MAIN_1300_0100_03_cld,,
$C2410_MAIN_1300_0100_03_cld,ACTOR,Cloud
$C2410_MAIN_1300_0100_05_art,,
$C2410_MAIN_1300_0100_05_art,ACTOR,Aerith
$C2410_MAIN_1300_0200_00_tif,,"I see… Yeah, it’s nice…"
$C2410_MAIN_1300_0200_00_tif,ACTOR,Tifa
$C2410_MAIN_1300_0300_00_jny,,Right? Right?
$C2410_MAIN_1300_0300_00_jny,ACTOR,Johnny
$C2410_MAIN_1300_0400_00_blt,,"For a ‟seaside,” I ain’t seein’ no sea!"
$C2410_MAIN_1300_0400_00_blt,ACTOR,Barret
$C2410_MAIN_1300_0500_00_jny,,"It’s not about lookin’, see—"
$C2410_MAIN_1300_0500_00_jny,ACTOR,Johnny
$C2410_MAIN_1300_0500_03_blt,,
$C2410_MAIN_1300_0500_03_blt,ACTOR,Barret
$C2410_MAIN_1300_0500_05_jny,,
$C2410_MAIN_1300_0500_05_jny,ACTOR,Johnny
$C2410_MAIN_1300_0600_00_jny,,Here it comes—the salty sea breeze!
$C2410_MAIN_1300_0600_00_jny,ACTOR,Johnny
$C2410_MAIN_1300_0600_05_blt,,
$C2410_MAIN_1300_0600_05_blt,ACTOR,Barret
$C2410_MAIN_1300_0700_00_jny,,Here ya go!
$C2410_MAIN_1300_0700_00_jny,ACTOR,Johnny
$C2410_MAIN_1300_0700_05_blt,,
