id,name,text,text_jp
$C1910_MAIN_8000_0100_00_cld,Cloud,My memory ends here.<br>I don’t remember anything after that.,俺の記憶は　ここで終わりだ<br>あとは覚えていない
$C1910_MAIN_8000_0200_00_blt,Barret,"Hey, hey, hey now!",おいおい　おいおいおい！
$C1910_MAIN_8000_0300_00_art,Aerith,‟Hero Sephiroth Missing During Training”,『英雄セフィロス　訓練中に行方不明』
$C1910_MAIN_8000_0310_00_art,Aerith,I watched that news with my mom.,そんなニュース　お母さんと見たよ
$C1910_MAIN_8000_0400_00_art,Aerith,"And then a few days later,<br>they announced, ‟Actually, he died in battle,” right?",そして　何日かあとに<br>『実は戦死だった』って発表されたよね
$C1910_MAIN_8000_0500_00_art,Aerith,"Yes, that's right!",うん　そうそう！
$C1910_MAIN_8000_0600_00_blt,Barret,Shinra’s the one makin’ the news.<br>Those bastards do whatever they want.,ニュースを作っているのは神羅だ<br>やつら　やり放題だからな
$C1910_MAIN_8000_0700_00_blt,Barret,You’d have to be crazy to believe ‘em!,信じるほうがどうかしてる！
$C1910_MAIN_8000_0800_00_art,Aerith,"I believed it, though.",わたし　信じてましたけど
$C1910_MAIN_8000_0900_00_blt,Barret,"Oh… right, that.",ああ……あれだ
$C1910_MAIN_8000_0910_00_blt,Barret,"Anyway, Shinra’s to blame for everything.",とにかく神羅がぜんぶ悪いってこった
$C1910_MAIN_8000_1000_00_cld,Cloud,"Whatever the truth was five years ago,<br>we fought Sephiroth in Midgar.",５年前の真実はともかく<br>俺たちは　ミッドガルでセフィロスと戦ってきた
$C1910_MAIN_8000_1100_00_cld,Cloud,He’s alive.,あいつは　生きている
$C1910_MAIN_8000_1200_00_art,Aerith,"Alive, or… like, he’s here?",生きているっていうか　いる？
$C1910_MAIN_8000_1300_00_tif,Tifa,"Why’d he show up now, of all times?",どうして　いまになって現れたんだろう
$C1910_MAIN_8000_1400_00_tif,Tifa,What was he doing for those five years?,５年間　なにをしていたのかな
$C1910_MAIN_8000_1500_00_cld,Cloud,Sephiroth’s picking up where he left off that day.,セフィロスは　あの日の続きを始めたんだ
$C1910_MAIN_8000_1600_00_cld,Cloud,"With Jenova, he’s gonna take back this planet<br>and continue his plan to become its ruler.",ジェノバとともに　この星を取り戻して<br>支配者になるとかいう計画の続きを
$C1910_MAIN_8000_1700_00_tif,Tifa,After five years?,５年ぶりに？
