id,name,text,text_jp
$C1910_MAIN_0600_0100_00_blt,<i>Barret</i>,"<i>Alright, let’s hear it.<br>Your beef with Sephiroth—what’s the deal?</i>",<i>さーて　聞かせてもらおうか<br>おまえさんと　セフィロスの因縁をよ</i>
$C1910_MAIN_0600_0200_00_cld,<i>Cloud</i>,"<i>Tifa, I’m gonna tell it all.</i>",<i>ティファ　ぜんぶ話すぞ</i>
$C1910_MAIN_0600_0300_00_tif,<i>Tifa</i>,"<i>Yeah, I’m okay.</i>",<i>うん　私は大丈夫</i>
$C1910_MAIN_0600_0400_00_cld,<i>Cloud</i>,"<i>Five years ago, I was 16.</i>",<i>５年前　俺は１６歳だった</i>
$C1910_MAIN_0600_0500_00_cld,<i>Cloud</i>,"<i>SOLDIER didn’t have much action back then.<br>Even when there was work, it was mostly stuff I didn’t care for.</i>",<i>もう　ソルジャーにはあまり出番がなくて<br>あっても　気の乗らない任務が多かった</i>
$C1910_MAIN_0600_0600_00_cld,<i>Cloud</i>,"<i>Then, an order came down.</i>",<i>そんな中　命令が下ったんだ</i>
$C1910_MAIN_0600_0700_00_cld,<i>Cloud</i>,<i>The hero Sephiroth was with us…</i>,<i>英雄セフィロスが一緒で……</i>
$C1910_MAIN_0600_0710_00_cld,<i>Cloud</i>,<i>I was pretty excited.</i>,<i>俺は　はしゃいでいた</i>
$C1910_MAIN_0600_0800_sep,Sephiroth,"Hurry up, Cloud.",早く来い　クラウド
$C1910_MAIN_0700_0100_00_cld,Cloud,"Some heavy rain, huh?",すごい雨だな
$C1910_MAIN_0700_0200_00_cld,Cloud,"Hey, how you holding up?",おい　気分はどうだ？
$C1910_MAIN_0700_0300_00_cld,Security Officer,I’m fine.,だいじょうぶ
$C1910_MAIN_0700_0400_00_cld,Cloud,You look rough.,つらそうだな
$C1910_MAIN_0700_0500_00_cld,Cloud,"I’ve never gotten motion sickness before,<br>so I wouldn’t know.",俺　乗り物酔いなんて経験ないから<br>わからなくて
