id,name,text,text_jp
$C3310_MAIN_0300_0100_00_eln,Elena,"Alright, repeat after me!",じゃあ　復唱して
$C3310_MAIN_0300_0105_00_skm,<i>Radio</i>,"<br><i>Area 7, 205, 246</i><br>",<br><i>エリア７　２０５　２４６</i><br>
$C3310_MAIN_0300_0110_00_eln,Elena,"Oh, right, right! ‟The Northern Continent!”",あーそうそう　『北の大陸』
$C3310_MAIN_0300_0120_00_skm,<i>Radio</i>,<br><i>Roger that</i><br>,<br><i>了解</i><br>
$C3310_MAIN_0300_0200_00_eln,Elena,"All units, I’ve shared the temple coordinates!",全機　神殿の座標共有しました！
$C3310_MAIN_0300_0300_00_eln,Elena,"Uh… I did some digging, and…",あの……調べたんですけど
$C3310_MAIN_0300_0310_00_eln,Elena,This ‟Keystone curse” thing?<br>It’s got some serious credibility!,キーストーンの呪いって<br>けっこう　信憑性高いですよ
$C3310_MAIN_0300_0400_00_eln,Elena,Anyone who uses it ends up dead!,使った人は死んじゃうんです
$C3310_MAIN_0300_0500_00_lud,Rude,Wrong.,ちがう
$C3310_MAIN_0300_0600_00_lud,Rude,"The records say, ‟No one who used the Keystone to enter the temple<br>ever came back out.”",文献にあるのは『キーストーンを使って神殿に入り<br>出てきた者はいない』だ
$C3310_MAIN_0300_0700_00_eln,Elena,That’s the same thing!,同じですよ！
$C3310_MAIN_0300_0710_00_eln,Elena,"And yet, the President’s sending everyone in anyway!",それなのに　社長はみんなを行かせるんですよ
$C3310_MAIN_0300_0800_00_eln,Elena,Isn’t that awful?,ひどくないですか？
$C3310_MAIN_0300_0900_00_lud,Rude,"The President’s going too, I hear.",社長も行くそうだ
$C3310_MAIN_0300_1000_00_eln,Elena,What kinda nerve…!,どういう神経
$C3310_MAIN_0300_1100_00_ren,Reno,"That’s our boss for ya, huh!",さすがだぞ　と
$C3310_MAIN_0300_1200_00_eln,Elena,"Impressive' my foot—it’s reckless!<br>Not that I hate it, though.",さすがっていうか　無謀ですよ！<br>まあ　嫌いじゃないですけど
$C3310_MAIN_0300_1300_00_tsu,Tseng,We’re moving out.,出発だ
$C3310_MAIN_0300_1310_00_tsu,Tseng,We’ll take point and open the temple gates.,我々が先行し　神殿の門を開く
$C3310_MAIN_0300_1400_00_lud,Rude,Understood.,了解
$C3310_MAIN_0400_0100_00_vin,Vincent,Looks like they’re headed for the Northern Continent.,連中は　北の大陸に飛ぶようだ
$C3310_MAIN_0400_0200_00_cid,Cid,"Aw, crap… over there, huh?",あ～　あっちか……
$C3310_MAIN_0400_0300_00_art,Aerith,Can we make it?,行けそう？
$C3310_MAIN_0400_0400_00_cid,Cid,"No sweat! My skills are top-tier, baby!",だいじょーぶ　オレ様の腕は特がつく上だ！
$C3310_MAIN_0400_0500_00_cid,Cid,"Even if they rip my wings off,<br>I’ll plow through those waves and get us there!",たとえ　翼をもがれようとも<br>大波かきわけて　渡ってやろうじゃねえか
$C3310_MAIN_0400_0600_00_yfi,Yuffie,"That means it’s gonna shake, right?",それって　揺れるってことだよね？
$C3310_MAIN_0400_0700_00_cid,Cid,"You bet it will!<br>Life’s full of rough waters, kid.",そりゃあな<br>まあ　人生に荒波はつきもんだ
$C3310_MAIN_0400_0800_00_vin,Vincent,Shinra’s mobilizing the Turks and the army.,神羅はタークスと軍が動く
$C3310_MAIN_0400_0900_00_vin,Vincent,Better get your affairs in order.,身辺整理をしておくんだな
